dataset,number,author,title,vertices,edges,faces,eps,variables,taco-taco,taco-tortilla,tortilla-tortilla,transitivity,reduced_trans,components,limited,states,component_assignments
grids,000,Daniel BROWN,2x2 A1,4,4,1,300,0,0,0,0,0,0,1,false,1,|1|
grids,001,Daniel BROWN,2x2 C1,20,40,21,300,64,8,44,0,76,16,1,false,1,|1|
grids,002,Daniel BROWN,2x2 D1,28,52,25,300,132,16,120,0,332,176,5,false,16,|1|2|2|2|2|
grids,003,Daniel BROWN,3x3 A2,16,24,9,300,12,0,4,0,4,0,1,false,1,|1|
grids,004,Daniel BROWN,3x3 A3,36,64,29,300,104,16,88,0,156,48,1,false,1,|1|
grids,005,Daniel BROWN,3x3 A4,24,40,17,300,40,8,16,0,32,0,1,false,1,|1|
grids,006,Daniel BROWN,3x3 A5,68,124,57,300,404,72,380,0,1356,768,5,false,16,|1|2|2|2|2|
grids,007,Daniel BROWN,3x3 A6,48,96,49,300,296,112,156,0,928,412,5,false,16,|1|2|2|2|2|
grids,008,Daniel BROWN,3x3 A7,52,104,53,300,400,64,384,0,1444,880,5,false,16,|1|2|2|2|2|
grids,009,Daniel BROWN,3x3 A8,44,84,41,300,188,44,116,0,404,168,1,false,1,|1|
grids,010,Daniel BROWN,3x3 C1,24,44,21,300,64,8,44,0,76,16,1,false,1,|1|
grids,011,Daniel BROWN,3x3 C2,92,208,117,300,1304,472,736,0,7696,5296,9,false,390625,|1|5|5|5|5|5|5|5|5|
grids,012,Daniel BROWN,3x3 C3,100,200,101,300,848,228,672,0,3304,1920,9,false,6561,|1|3|3|3|3|3|3|3|3|
grids,013,Daniel BROWN,3x3 C4,68,144,77,300,496,144,328,0,1548,788,5,false,81,|1|3|3|3|3|
grids,014,Daniel BROWN,3x3 C5,80,168,89,300,820,228,684,0,3740,2312,1,false,1,|1|
grids,015,Daniel BROWN,3x3 C6,52,112,61,300,332,96,204,0,848,372,5,false,16,|1|2|2|2|2|
grids,016,Daniel BROWN,3x3 C7,68,148,81,300,832,272,492,0,4836,3380,9,false,104976,|1|2|2|2|2|9|9|9|9|
grids,017,Daniel BROWN,3x3 C8,80,176,97,300,792,180,740,0,3268,1984,5,false,16,|1|2|2|2|2|
grids,018,Daniel BROWN,3x3 D1,40,88,49,300,408,160,144,0,1816,1120,5,false,6561,|1|9|9|9|9|
grids,019,Daniel BROWN,3x3 D2,36,68,33,300,176,44,120,0,432,180,5,false,16,|1|2|2|2|2|
grids,020,Daniel BROWN,3x3 D3,44,84,41,300,244,64,132,0,648,320,5,false,16,|1|2|2|2|2|
grids,021,Daniel BROWN,3x3 D4,44,88,45,300,272,64,216,0,772,368,1,false,1,|1|
grids,022,Daniel BROWN,3x3 D5,132,280,149,300,1740,616,1252,0,10728,7352,5,false,81,|1|3|3|3|3|
grids,023,Daniel BROWN,3x3 D6,44,88,45,300,212,60,112,0,456,172,13,false,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|
grids,024,Daniel BROWN,4x4 A2,16,24,9,300,12,0,4,0,4,0,1,false,1,|1|
grids,025,Daniel BROWN,4x4 A3,48,84,37,300,261,84,222,0,911,461,2,false,32,|1|32|
grids,026,Daniel BROWN,4x4 A4,32,60,29,300,120,16,92,0,196,76,5,false,16,|1|2|2|2|2|
grids,027,Daniel BROWN,4x4 A5,28,48,21,300,64,8,44,0,76,16,1,false,1,|1|
grids,028,Daniel BROWN,4x4 A6,84,156,73,300,772,324,480,0,4616,3024,5,false,256,|1|4|4|4|4|
grids,029,Daniel BROWN,4x4 A7,36,68,33,300,144,28,104,0,272,100,1,false,1,|1|
grids,030,Daniel BROWN,4x4 A8,52,104,53,300,456,76,436,0,1936,1292,1,false,1,|1|
grids,031,Daniel BROWN,4x4 A9,84,168,85,300,784,192,636,0,3620,2360,5,false,16,|1|2|2|2|2|
grids,032,Daniel BROWN,4x4 A10,84,156,73,300,516,136,412,0,1824,1048,1,false,1,|1|
grids,033,Daniel BROWN,4x4 A11,48,88,41,300,292,56,264,0,1008,600,5,false,81,|1|3|3|3|3|
grids,034,Daniel BROWN,4x4 A12,64,120,57,300,476,176,280,0,2088,1224,5,false,81,|1|3|3|3|3|
grids,035,Daniel BROWN,4x4 A13,41,81,41,300,300,104,160,0,1140,644,5,false,256,|1|4|4|4|4|
grids,036,Daniel BROWN,4x4 A14,109,213,105,300,844,196,756,0,3140,1828,5,false,2401,|1|7|7|7|7|
grids,037,Daniel BROWN,4x4 A15,96,164,69,300,684,113,798,0,3660,2584,9,false,1296,|1|3|3|3|3|2|2|2|2|
grids,038,Daniel BROWN,4x4 A16,88,184,97,300,1264,432,868,0,9696,7308,5,false,2401,|1|7|7|7|7|
grids,039,Daniel BROWN,4x4 A17,104,200,97,300,1392,453,1062,0,11696,9020,9,false,1296,|1|3|3|3|3|2|2|2|2|
grids,040,Daniel BROWN,4x4 A18,50,98,49,300,312,76,225,0,952,492,1,false,1,|1|
grids,041,Daniel BROWN,4x4 A19,60,124,65,300,464,176,228,0,1560,752,9,false,4096,|1|2|2|2|2|4|4|4|4|
grids,042,Daniel BROWN,4x4 A20,56,108,53,300,444,60,468,0,1672,1048,9,false,256,|1|2|2|2|2|2|2|2|2|
grids,043,Daniel BROWN,4x4 A21,92,200,109,300,1244,348,948,0,7716,5564,5,false,16,|1|2|2|2|2|
grids,044,Daniel BROWN,4x4 A22,72,152,81,300,760,220,504,0,3920,2680,9,false,38416,|1|2|2|2|2|7|7|7|7|
grids,045,Daniel BROWN,4x4 A23,116,228,113,300,1488,376,1348,0,10788,8160,5,false,20736,|1|12|12|12|12|
grids,046,Daniel BROWN,4x4 A24,52,104,53,300,276,56,228,0,676,304,1,false,1,|1|
grids,047,Daniel BROWN,4x4 A25,36,68,33,300,112,16,80,0,144,32,1,false,1,|1|
grids,048,Daniel BROWN,4x4 A26,60,128,69,300,656,184,508,0,3096,1988,2,false,194,|1|194|
grids,049,Daniel BROWN,4x4 A27,76,160,85,300,920,348,560,0,5600,3824,1,false,1,|1|
grids,050,Daniel BROWN,4x4 A28,88,168,81,300,888,328,676,0,5584,3808,5,false,16,|1|2|2|2|2|
grids,051,Daniel BROWN,4x4 A29,32,64,33,300,208,76,104,0,656,308,5,false,81,|1|3|3|3|3|
grids,052,Daniel BROWN,4x4 A30,68,124,57,300,404,72,380,0,1356,768,5,false,16,|1|2|2|2|2|
grids,053,Daniel BROWN,4x4 A31,128,236,109,300,764,168,724,0,2428,1324,5,false,16,|1|2|2|2|2|
grids,054,Daniel BROWN,4x4 A32,117,217,101,300,1020,252,932,0,4940,3296,5,false,1296,|1|6|6|6|6|
