number,author,title,vertices,edges,faces,eps,variables,taco-taco,taco-tortilla,tortilla-tortilla,transitivity,reduced_trans,components,limited,states,component_assignments,setup_sec,solve_sec
000,Daniel BROWN,2x2 A1,4,4,1,8,0,0,0,0,0,0,1,no limit,1,|1|,0.0031,0.0001
001,Daniel BROWN,2x2 C1,20,40,21,8,64,8,44,0,76,16,1,no limit,1,|1|,0.0062,0.0001
002,Daniel BROWN,2x2 D1,28,52,25,8,132,16,120,0,332,176,5,no limit,16,|1|2|2|2|2|,0.0071,0.0003
003,Daniel BROWN,3x3 A2,16,24,9,8,12,0,4,0,4,0,1,no limit,1,|1|,0.0021,0.0001
004,Daniel BROWN,3x3 A3,36,64,29,8,104,16,88,0,156,48,1,no limit,1,|1|,0.0053,0
005,Daniel BROWN,3x3 A4,24,40,17,8,40,8,16,0,32,0,1,no limit,1,|1|,0.0025,0.0001
006,Daniel BROWN,3x3 A5,68,124,57,8,404,72,380,0,1356,768,5,no limit,16,|1|2|2|2|2|,0.0115,0.0007
007,Daniel BROWN,3x3 A6,48,96,49,8,296,112,156,0,928,412,5,no limit,16,|1|2|2|2|2|,0.0079,0.0009
008,Daniel BROWN,3x3 A7,52,104,53,8,400,64,384,0,1444,880,5,no limit,16,|1|2|2|2|2|,0.0108,0.0007
009,Daniel BROWN,3x3 A8,44,84,41,8,188,44,116,0,404,168,1,no limit,1,|1|,0.0044,0
010,Daniel BROWN,3x3 C1,24,44,21,8,64,8,44,0,76,16,1,no limit,1,|1|,0.0028,0
011,Daniel BROWN,3x3 C2,92,208,117,8,1304,472,736,0,7696,5296,9,no limit,390625,|1|5|5|5|5|5|5|5|5|,0.0279,0.0078
012,Daniel BROWN,3x3 C3,100,200,101,8,848,228,672,0,3304,1920,9,no limit,6561,|1|3|3|3|3|3|3|3|3|,0.0176,0.0011
013,Daniel BROWN,3x3 C4,68,144,77,8,496,144,328,0,1548,788,5,no limit,81,|1|3|3|3|3|,0.0092,0.0009
014,Daniel BROWN,3x3 C5,80,168,89,8,820,228,684,0,3740,2312,1,no limit,1,|1|,0.0201,0.0001
015,Daniel BROWN,3x3 C6,52,112,61,8,332,96,204,0,848,372,5,no limit,16,|1|2|2|2|2|,0.0068,0.0007
016,Daniel BROWN,3x3 C7,68,148,81,8,832,272,492,0,4836,3380,9,no limit,104976,|1|2|2|2|2|9|9|9|9|,0.0186,0.007
017,Daniel BROWN,3x3 C8,80,176,97,8,792,180,740,0,3268,1984,5,no limit,16,|1|2|2|2|2|,0.0162,0.0012
018,Daniel BROWN,3x3 D1,40,88,49,8,408,160,144,0,1816,1120,5,no limit,6561,|1|9|9|9|9|,0.0079,0.0034
019,Daniel BROWN,3x3 D2,36,68,33,8,176,44,120,0,432,180,5,no limit,16,|1|2|2|2|2|,0.005,0.0005
020,Daniel BROWN,3x3 D3,44,84,41,8,244,64,132,0,648,320,5,no limit,16,|1|2|2|2|2|,0.0077,0.0005
021,Daniel BROWN,3x3 D4,44,88,45,8,272,64,216,0,772,368,1,no limit,1,|1|,0.0058,0
022,Daniel BROWN,3x3 D5,132,280,149,8,1740,616,1252,0,10728,7352,5,no limit,81,|1|3|3|3|3|,0.0358,0.0012
023,Daniel BROWN,3x3 D6,44,88,45,8,212,60,112,0,456,172,13,no limit,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|,0.005,0.0004
024,Daniel BROWN,4x4 A2,16,24,9,8,12,0,4,0,4,0,1,no limit,1,|1|,0.0013,0
025,Daniel BROWN,4x4 A3,48,84,37,8,261,84,222,0,911,461,2,no limit,32,|1|32|,0.0071,0.0005
026,Daniel BROWN,4x4 A4,32,60,29,8,120,16,92,0,196,76,5,no limit,16,|1|2|2|2|2|,0.0033,0.0002
027,Daniel BROWN,4x4 A5,28,48,21,8,64,8,44,0,76,16,1,no limit,1,|1|,0.0029,0
028,Daniel BROWN,4x4 A6,84,156,73,8,772,324,480,0,4616,3024,5,no limit,256,|1|4|4|4|4|,0.0177,0.0014
029,Daniel BROWN,4x4 A7,36,68,33,8,144,28,104,0,272,100,1,no limit,1,|1|,0.0038,0
030,Daniel BROWN,4x4 A8,52,104,53,8,456,76,436,0,1936,1292,1,no limit,1,|1|,0.0096,0
031,Daniel BROWN,4x4 A9,84,168,85,8,784,192,636,0,3620,2360,5,no limit,16,|1|2|2|2|2|,0.0154,0.0006
032,Daniel BROWN,4x4 A10,84,156,73,8,516,136,412,0,1824,1048,1,no limit,1,|1|,0.0118,0
033,Daniel BROWN,4x4 A11,48,88,41,8,292,56,264,0,1008,600,5,no limit,81,|1|3|3|3|3|,0.0073,0.0004
034,Daniel BROWN,4x4 A12,64,120,57,8,476,176,280,0,2088,1224,5,no limit,81,|1|3|3|3|3|,0.0097,0.0014
035,Daniel BROWN,4x4 A13,41,81,41,8,300,104,160,0,1140,644,5,no limit,256,|1|4|4|4|4|,0.0064,0.002
036,Daniel BROWN,4x4 A14,109,213,105,16,844,196,756,0,3140,1828,5,no limit,2401,|1|7|7|7|7|,0.02,0.0013
037,Daniel BROWN,4x4 A15,96,164,69,8,684,113,798,0,3660,2584,9,no limit,1296,|1|3|3|3|3|2|2|2|2|,0.015,0.0014
038,Daniel BROWN,4x4 A16,88,184,97,8,1264,432,868,0,9696,7308,5,no limit,2401,|1|7|7|7|7|,0.029,0.0074
039,Daniel BROWN,4x4 A17,104,200,97,8,1392,453,1062,0,11696,9020,9,no limit,1296,|1|3|3|3|3|2|2|2|2|,0.0297,0.0025
040,Daniel BROWN,4x4 A18,50,98,49,8,312,76,225,0,952,492,1,no limit,1,|1|,0.0055,0
041,Daniel BROWN,4x4 A19,60,124,65,8,464,176,228,0,1560,752,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0108,0.001
042,Daniel BROWN,4x4 A20,56,108,53,8,444,60,468,0,1672,1048,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0096,0.0005
043,Daniel BROWN,4x4 A21,92,200,109,8,1244,348,948,0,7716,5564,5,no limit,16,|1|2|2|2|2|,0.0233,0.0005
044,Daniel BROWN,4x4 A22,72,152,81,8,760,220,504,0,3920,2680,9,no limit,38416,|1|2|2|2|2|7|7|7|7|,0.0147,0.003
045,Daniel BROWN,4x4 A23,116,228,113,8,1488,376,1348,0,10788,8160,5,no limit,20736,|1|12|12|12|12|,0.0332,0.0085
046,Daniel BROWN,4x4 A24,52,104,53,8,276,56,228,0,676,304,1,no limit,1,|1|,0.0064,0
047,Daniel BROWN,4x4 A25,36,68,33,8,112,16,80,0,144,32,1,no limit,1,|1|,0.0032,0
048,Daniel BROWN,4x4 A26,60,128,69,8,656,184,508,0,3096,1988,2,no limit,194,|1|194|,0.0144,0.1205
049,Daniel BROWN,4x4 A27,76,160,85,8,920,348,560,0,5600,3824,1,no limit,1,|1|,0.0197,0.0001
050,Daniel BROWN,4x4 A28,88,168,81,8,888,328,676,0,5584,3808,5,no limit,16,|1|2|2|2|2|,0.0212,0.0004
051,Daniel BROWN,4x4 A29,32,64,33,8,208,76,104,0,656,308,5,no limit,81,|1|3|3|3|3|,0.0042,0.0006
052,Daniel BROWN,4x4 A30,68,124,57,8,404,72,380,0,1356,768,5,no limit,16,|1|2|2|2|2|,0.0096,0.0004
053,Daniel BROWN,4x4 A31,128,236,109,8,764,168,724,0,2428,1324,5,no limit,16,|1|2|2|2|2|,0.0168,0.0006
054,Daniel BROWN,4x4 A32,117,217,101,8,1020,252,932,0,4940,3296,5,no limit,1296,|1|6|6|6|6|,0.0203,0.0037
055,Daniel BROWN,4x4 A33,124,268,145,8,1600,508,1124,0,9516,6656,13,no limit,26873856,|1|2|2|2|2|4|4|4|4|9|9|9|9|,0.0312,0.0089
056,Daniel BROWN,4x4 A34,68,148,81,8,824,284,484,0,4816,3340,5,no limit,4096,|1|8|8|8|8|,0.0173,0.0122
057,Daniel BROWN,4x4 A35,124,268,145,8,1600,508,1124,0,9516,6656,13,no limit,26873856,|1|2|2|2|2|4|4|4|4|9|9|9|9|,0.037,0.0088
058,Daniel BROWN,4x4 A36,36,64,29,8,104,16,88,0,156,48,1,no limit,1,|1|,0.0035,0
059,Daniel BROWN,4x4 A37,24,40,17,8,40,8,16,0,32,0,1,no limit,1,|1|,0.0021,0
060,Daniel BROWN,4x4 A38,164,284,121,8,924,160,996,0,3136,1884,13,no limit,104976,|1|2|2|2|2|3|3|3|3|3|3|3|3|,0.0236,0.0022
061,Daniel BROWN,4x4 A39,124,248,125,8,1024,316,816,0,4200,2412,5,no limit,16,|1|2|2|2|2|,0.0218,0.0002
062,Daniel BROWN,4x4 A40,84,164,81,8,568,136,460,0,1968,1144,5,no limit,81,|1|3|3|3|3|,0.0123,0.0013
063,Daniel BROWN,4x4 A41,88,192,105,8,940,260,720,0,4108,2520,1,no limit,1,|1|,0.0178,0
064,Daniel BROWN,4x4 A42,80,160,81,8,744,288,356,0,3712,2388,1,no limit,1,|1|,0.0138,0
065,Daniel BROWN,4x4 A43,60,116,57,8,388,80,316,0,1148,608,2,no limit,16,|1|16|,0.0081,0.0016
066,Daniel BROWN,4x4 A44,60,116,57,8,388,80,316,0,1148,608,2,no limit,16,|1|16|,0.008,0.0015
067,Daniel BROWN,4x4 A45,200,384,185,8,1940,480,1900,0,9620,6316,18,no limit,1048576,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|16|,0.0403,0.0058
068,Daniel BROWN,4x4 A46,204,348,145,8,1244,456,1172,0,4984,2960,9,no limit,20736,|1|2|2|2|2|6|6|6|6|,0.0276,0.0045
069,Daniel BROWN,4x4 A47,124,264,141,8,896,236,708,0,2804,1444,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0157,0.002
070,Daniel BROWN,4x4 A48,92,180,89,8,972,444,364,0,6272,4356,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0197,0.0028
071,Daniel BROWN,4x4 A49,112,216,105,8,684,124,660,0,1804,860,1,no limit,1,|1|,0.0156,0.0001
072,Daniel BROWN,4x4 A50,100,200,101,8,868,184,780,0,3656,2336,13,no limit,331776,|1|2|2|2|2|3|3|3|3|4|4|4|4|,0.0166,0.0019
073,Daniel BROWN,4x4 A51,84,180,97,8,756,224,532,0,3120,1884,5,no limit,6561,|1|9|9|9|9|,0.0152,0.0057
074,Daniel BROWN,4x4 A52,96,204,109,8,1108,240,996,0,5616,3836,5,no limit,4096,|1|8|8|8|8|,0.0208,0.0052
075,Daniel BROWN,4x4 A53,76,156,81,8,648,232,336,0,2464,1376,5,no limit,38416,|1|14|14|14|14|,0.0109,0.0054
076,Daniel BROWN,4x4 A54,44,84,41,8,204,40,140,0,468,220,1,no limit,1,|1|,0.0041,0
077,Daniel BROWN,4x4 A55,52,96,45,8,204,60,116,0,436,164,1,no limit,1,|1|,0.005,0.0001
078,Daniel BROWN,4x4 A56,204,328,125,8,1160,392,1236,0,5220,3280,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0261,0.0003
079,Daniel BROWN,4x4 A57,88,184,97,8,784,224,504,0,3232,2000,5,no limit,256,|1|4|4|4|4|,0.0138,0.0007
080,Daniel BROWN,4x4 A58,204,328,125,8,1160,392,1236,0,5220,3280,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0263,0.0003
081,Daniel BROWN,4x4 A59,76,168,93,8,740,252,408,0,2956,1696,5,no limit,16,|1|2|2|2|2|,0.0121,0.0008
082,Daniel BROWN,4x4 A60,60,124,65,8,496,180,336,0,1904,984,1,no limit,1,|1|,0.0099,0
083,Daniel BROWN,4x4 A61,74,114,41,8,300,73,310,0,948,528,5,no limit,16,|1|2|2|2|2|,0.0069,0.0008
084,Daniel BROWN,4x4 A62,84,152,69,8,472,104,440,0,1428,700,5,no limit,16,|1|2|2|2|2|,0.0094,0.0005
085,Daniel BROWN,4x4 A63,88,184,97,8,816,208,628,0,3584,2308,5,no limit,10000,|1|10|10|10|10|,0.0151,0.0036
086,Daniel BROWN,4x4 A64,136,272,137,8,1580,372,1468,0,9220,6636,5,no limit,81,|1|3|3|3|3|,0.0315,0.0008
087,Daniel BROWN,4x4 A65,64,136,73,8,444,112,320,0,1220,568,1,no limit,1,|1|,0.0085,0
088,Daniel BROWN,4x4 A66,40,84,45,8,212,56,120,0,456,176,13,no limit,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|,0.0045,0.0003
089,Daniel BROWN,4x4 A67,126,250,125,8,1140,372,850,0,5248,3220,5,no limit,256,|1|4|4|4|4|,0.0245,0.0054
090,Daniel BROWN,4x4 A68,192,336,145,8,1352,432,1236,0,6120,3920,13,no limit,1048576,|1|2|2|2|2|4|4|4|4|4|4|4|4|,0.0284,0.0019
091,Daniel BROWN,4x4 A69,104,212,109,8,864,180,776,0,3320,2024,13,no limit,104976,|1|2|2|2|2|3|3|3|3|3|3|3|3|,0.0182,0.0019
092,Daniel BROWN,4x4 A70,180,388,209,8,3132,1104,2320,0,24500,18268,1,no limit,1,|1|,0.0626,0
093,Daniel BROWN,4x4 A71,136,260,125,8,1600,500,1324,0,11256,8352,5,no limit,625,|1|5|5|5|5|,0.0334,0.0029
094,Daniel BROWN,4x4 A72,144,272,129,8,1512,428,1304,0,8948,6368,9,no limit,331776,|1|4|4|4|4|6|6|6|6|,0.0289,0.0057
